# Neuromorphic Accelerator Simulation Results
# Generated: 2025-10-20 00:11:01
# User: e19129@localhost.localdomain
# Run Configuration:
#   Mode: Full Simulation
#   Layer Filter: 1 2
#   Neuron Filter: All (16 32 64 128 256 512)
#   Timestep Filter: 25 50 75 100

#   Verbose Mode: Disabled
#   Total Expected Simulations: 192
#
# CSV Format: Config,Layers,Neurons,Train_TimeSteps,Inference_TimeSteps,Accuracy
Config,Layers,Neurons,Train_TimeSteps,Inference_TimeSteps,Accuracy
h128_l1_t100,1,128,100,25,95.62
h128_l1_t100,1,128,100,50,96.15
h128_l1_t100,1,128,100,75,96.46
h128_l1_t100,1,128,100,100,96.46
h128_l1_t25,1,128,25,25,94.38
h128_l1_t25,1,128,25,50,95.21
h128_l1_t25,1,128,25,75,95.42
h128_l1_t25,1,128,25,100,95.31
h128_l1_t50,1,128,50,25,96.67
h128_l1_t50,1,128,50,50,95.83
h128_l1_t50,1,128,50,75,96.25
h128_l1_t50,1,128,50,100,96.46
h128_l1_t75,1,128,75,25,95.21
h128_l1_t75,1,128,75,50,95.21
h128_l1_t75,1,128,75,75,95.21
h128_l1_t75,1,128,75,100,95.62
h128_l2_t100,2,128,100,25,73.54
h128_l2_t100,2,128,100,50,80.21
h128_l2_t100,2,128,100,75,82.08
h128_l2_t100,2,128,100,100,82.19
h128_l2_t25,2,128,25,25,91.04
h128_l2_t25,2,128,25,50,91.46
h128_l2_t25,2,128,25,75,91.98
h128_l2_t25,2,128,25,100,91.35
h128_l2_t50,2,128,50,25,87.19
h128_l2_t50,2,128,50,50,89.27
h128_l2_t50,2,128,50,75,90.42
h128_l2_t50,2,128,50,100,89.90
h128_l2_t75,2,128,75,25,86.56
h128_l2_t75,2,128,75,50,89.17
h128_l2_t75,2,128,75,75,90.83
h128_l2_t75,2,128,75,100,92.29
h16_l1_t100,1,16,100,25,81.25
h16_l1_t100,1,16,100,50,83.33
h16_l1_t100,1,16,100,75,83.12
h16_l1_t100,1,16,100,100,84.17
h16_l1_t25,1,16,25,25,89.27
h16_l1_t25,1,16,25,50,89.79
h16_l1_t25,1,16,25,75,89.69
h16_l1_t25,1,16,25,100,90.00
h16_l1_t50,1,16,50,25,89.17
h16_l1_t50,1,16,50,50,89.58
h16_l1_t50,1,16,50,75,91.15
h16_l1_t50,1,16,50,100,89.58
h16_l1_t75,1,16,75,25,83.75
h16_l1_t75,1,16,75,50,86.46
h16_l1_t75,1,16,75,75,86.15
h16_l1_t75,1,16,75,100,87.29
h16_l2_t100,2,16,100,25,70.83
h16_l2_t100,2,16,100,50,74.79
h16_l2_t100,2,16,100,75,77.08
h16_l2_t100,2,16,100,100,79.27
h16_l2_t25,2,16,25,25,88.02
h16_l2_t25,2,16,25,50,89.17
h16_l2_t25,2,16,25,75,90.42
h16_l2_t25,2,16,25,100,89.90
h16_l2_t50,2,16,50,25,82.29
h16_l2_t50,2,16,50,50,86.25
h16_l2_t50,2,16,50,75,85.94
h16_l2_t50,2,16,50,100,87.08
h16_l2_t75,2,16,75,25,78.96
h16_l2_t75,2,16,75,50,81.88
h16_l2_t75,2,16,75,75,82.60
h16_l2_t75,2,16,75,100,83.33
h256_l1_t100,1,256,100,25,95.31
h256_l1_t100,1,256,100,50,96.15
h256_l1_t100,1,256,100,75,96.46
h256_l1_t100,1,256,100,100,96.04
h256_l1_t25,1,256,25,25,97.29
h256_l1_t25,1,256,25,50,97.50
h256_l1_t25,1,256,25,75,97.81
h256_l1_t25,1,256,25,100,97.71
h256_l1_t50,1,256,50,25,96.35
h256_l1_t50,1,256,50,50,96.56
h256_l1_t50,1,256,50,75,96.88
h256_l1_t50,1,256,50,100,96.98
h256_l1_t75,1,256,75,25,96.25
h256_l1_t75,1,256,75,50,96.25
h256_l1_t75,1,256,75,75,96.77
h256_l1_t75,1,256,75,100,96.67
h256_l2_t100,2,256,100,25,N/A
h256_l2_t100,2,256,100,50,N/A
h256_l2_t100,2,256,100,75,N/A
h256_l2_t100,2,256,100,100,N/A
h256_l2_t25,2,256,25,25,N/A
h256_l2_t25,2,256,25,50,N/A
h256_l2_t25,2,256,25,75,N/A
h256_l2_t25,2,256,25,100,N/A
h256_l2_t50,2,256,50,25,N/A
h256_l2_t50,2,256,50,50,N/A
h256_l2_t50,2,256,50,75,N/A
h256_l2_t50,2,256,50,100,N/A
h256_l2_t75,2,256,75,25,N/A
h256_l2_t75,2,256,75,50,N/A
h256_l2_t75,2,256,75,75,N/A
h256_l2_t75,2,256,75,100,N/A
h32_l1_t100,1,32,100,25,89.27
h32_l1_t100,1,32,100,50,90.42
h32_l1_t100,1,32,100,75,90.94
h32_l1_t100,1,32,100,100,92.19
h32_l1_t25,1,32,25,25,93.65
h32_l1_t25,1,32,25,50,94.17
h32_l1_t25,1,32,25,75,94.58
h32_l1_t25,1,32,25,100,94.69
h32_l1_t50,1,32,50,25,91.77
h32_l1_t50,1,32,50,50,93.54
h32_l1_t50,1,32,50,75,93.23
h32_l1_t50,1,32,50,100,94.38
h32_l1_t75,1,32,75,25,89.38
