"sample","true_label","pred_label","error","result"
"0","7","7","0","PASS"
"1","2","0","2","FAIL"
"2","1","1","0","PASS"
"3","0","7","-7","FAIL"
"4","4","4","0","PASS"
"5","1","7","-6","FAIL"
"6","4","4","0","PASS"
"7","9","0","9","FAIL"
"8","5","6","-1","FAIL"
"9","9","7","2","FAIL"
"10","0","0","0","PASS"
"11","6","6","0","PASS"
"12","9","7","2","FAIL"
"13","0","0","0","PASS"
"14","1","1","0","PASS"
"15","5","5","0","PASS"
"16","9","7","2","FAIL"
"17","7","7","0","PASS"
"18","3","7","-4","FAIL"
"19","4","4","0","PASS"
"20","9","7","2","FAIL"
"21","6","4","2","FAIL"
"22","6","6","0","PASS"
"23","5","4","1","FAIL"
"24","4","4","0","PASS"
"25","0","0","0","PASS"
"26","7","7","0","PASS"
"27","4","4","0","PASS"
"28","0","7","-7","FAIL"
"29","1","6","-5","FAIL"
"30","3","7","-4","FAIL"
"31","1","1","0","PASS"
"32","3","3","0","PASS"
"33","4","6","-2","FAIL"
"34","7","7","0","PASS"
"35","2","2","0","PASS"
"36","7","7","0","PASS"
"37","1","1","0","PASS"
"38","2","3","-1","FAIL"
"39","1","6","-5","FAIL"
"40","1","1","0","PASS"
"41","7","7","0","PASS"
"42","4","7","-3","FAIL"
"43","2","2","0","PASS"
"44","3","9","-6","FAIL"
"45","5","3","2","FAIL"
"46","1","4","-3","FAIL"
"47","2","2","0","PASS"
"48","4","4","0","PASS"
"49","4","4","0","PASS"
"50","6","6","0","PASS"
"51","3","7","-4","FAIL"
"52","5","7","-2","FAIL"
"53","5","4","1","FAIL"
"54","6","6","0","PASS"
"55","0","0","0","PASS"
"56","4","4","0","PASS"
"57","1","1","0","PASS"
"58","9","7","2","FAIL"
"59","5","7","-2","FAIL"
"60","7","7","0","PASS"
"61","8","8","0","PASS"
"62","9","6","3","FAIL"
"63","3","3","0","PASS"
"64","7","7","0","PASS"
"65","4","4","0","PASS"
"66","6","7","-1","FAIL"
"67","4","4","0","PASS"
"68","3","9","-6","FAIL"
"69","0","0","0","PASS"
"70","7","7","0","PASS"
"71","0","0","0","PASS"
"72","2","3","-1","FAIL"
"73","9","7","2","FAIL"
"74","1","7","-6","FAIL"
"75","7","7","0","PASS"
"76","3","3","0","PASS"
"77","2","7","-5","FAIL"
"78","9","7","2","FAIL"
"79","7","7","0","PASS"
"80","7","7","0","PASS"
"81","6","6","0","PASS"
"82","2","2","0","PASS"
"83","7","7","0","PASS"
